# add_icon 아이콘 매핑 파일 (UTF-8)
# 형식:  영어파일명.png = 한글 스킬명
#   - 파일명은 반드시 영어(ASCII)로! (배포 시 한글 파일명은 깨질 수 있음)
#   - 한글 스킬명은 이 파일 '내용'에만 적으면 됨(UTF-8이라 안전)
#   - '#' 로 시작하는 줄은 주석
#   - 아이콘 PNG 파일이 add_icon/class/ 에 존재할 때만 활성화됨
#   - 이 파일은 add_icon/class/ 폴더 전용 (아이덴티티 스킬 아이콘)

# ── 스킬룬 (공용) ─────────────────────────────────────────────
hn_divine_justice.png = 신의 집행자
# 원본 위키 파일명: 심판의 칼날.jpg
hn_judgment_blade.png = 심판의 칼날
# 원본 위키 파일명: 신성의 오라.jpg
hn_holy_aura.png = 신성의 오라
# 원본 위키 파일명: 신성 파도.jpg
hn_holy_wave.png = 신성 파도

# ── 환수사 ────────────────────────────────────────────────────
# 원본 위키 파일명: 금술찢곰.png
hs_goldbear.png = 금술 : 찢 곰
# 원본 위키 파일명: 금술여우.png
hs_goldfox.png = 금술 : 여우 별 소나기
# 원본 위키 파일명: 환수각성.png
hs_beast_awaken.png = 환수 각성

# ── 인파이터 ──────────────────────────────────────────────────
# 원본 위키 파일명: 대지가르기.png
if_earth_slash.png = 대지 가르기

# ── 바드 ──────────────────────────────────────────────────────
bd_courage.png = 용맹의 세레나데
bd_salvation.png = 구원의 세레나데
bd_tempest.png = 템페스트

# ── 도화가 ────────────────────────────────────────────────────
dh_setting_moon.png = 저무는 달
dh_rising_sun.png = 떠오르는 해
dh_Sun_Well.png = 묵법 파죽

# ── 디스트로이어 ──────────────────────────────────────────────
ds_gravity_zone.png = 중력 가중 영역
ds_vortex.png = 볼텍스 그라비티

# ── 워로드 ────────────────────────────────────────────────────
# 주의: wl_advance.png 와 wl_shield_stance.png 는 모양은 같고 색이 달라
#   각인 "고독한 기사" 보유 시 → 진격태세(wl_advance.png)
#   각인 "전투 태세" 보유 시   → 방어태세(wl_shield_stance.png)
wl_shield_stance.png = 방어태세
wl_shield_of_war.png = 전장의 방패
wl_advance.png = 진격태세
wl_spear_of_war.png = 전장의 창

# ── 소서리스 ──────────────────────────────────────────────────
sor_discharge.png = 마력 방출
sor_blink.png = 점멸

# ── 호크아이 ──────────────────────────────────────────────────
hk_storm_wing.png = 폭풍의 날개
hk_final_strike.png = 최후의 습격
hk_silverhawk.png = 실버호크 강습
# 주의: 파일명에 공백 포함 "hk_Silverhawk_MK-II .png"
hk_Silverhawk_MK-II .png = 실버호크 MK2

# ── 건슬링어 ──────────────────────────────────────────────────
gun_rose_blossom.png = 로즈 블로썸

# ── 창술사 ────────────────────────────────────────────────────
ch_yungabi.png = 연가비기

# ── 버서커 ────────────────────────────────────────────────────
bs_bloody_rush.png = 블러디 러쉬
bs_dark_rush.png = 다크 러쉬

# ── 브레이커 ──────────────────────────────────────────────────
br_geonwang.png = 권왕태세
br_geonwang_final.png = 권왕파천무
br_sura.png = 수라의 길
br_Asura_Destruction_Basic_Attack.png = 수라결 기본 공격
# 주의: 파일명에 공백 포함 "br_Fist _of_King_12_Storm.png"
br_Fist _of_King_12_Storm.png = 권왕십이식 풍랑
br_Twelve_Forms_Falling_Blossoms.png = 권왕십이식 낙화

# ── 스트라이커 ────────────────────────────────────────────────
st_tiger_emergence.png = 호랑이 출현
st_true_heavenly.png = 진 : 천군

# ── 기공사 ────────────────────────────────────────────────────
gk_naejong.png = 내종선공
gk_oejong.png = 외종선공
gk_musangsingwon.png = 무상신권
gk_musangsinjang.png = 무상신장
gk_musangsingag.png = 무상신각

# ── 데모닉 ────────────────────────────────────────────────────
dm_demon_form.png = 악마화
dm_Fatal_Step.png = 페이탈 스텝
dm_Blood_Genocide.png = 블러드 제노사이드

# ── 블레이드 ──────────────────────────────────────────────────
blade_arts.png = 블레이드 아츠
bl_Beyblade_Burst.png = 블레이드 버스트

# ── 소울이터 ──────────────────────────────────────────────────
se_sasha.png = 사신화
se_Soul_Decapitation.png = 영혼 참수

# ── 스카우터 ──────────────────────────────────────────────────
sc_draven.png = 드라번 킥
sc_hyper_sync.png = 하이퍼 싱크

# ── 아르카나 ──────────────────────────────────────────────────
arc_card_deck.png = 카드 덱
arc_judgment.png = 심판
arc_emperor.png = 황제
arc_Knight_of_the_Empress.png = 황후의 기사

# ── 데빌헌터 ──────────────────────────────────────────────────
dh2_quick_stance.png = 퀵 스탠스
dh2_Secret_Weapon.png = 비밀병기
Bleed rune.png = 스킬룬 출혈
Poison rune.png = 스킬룬 중독
